dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,relative_mae,mean_abs_diff,sign_agreement,mean_sample_rho,relative_additivity_gap
bike,gradient_boosting,12,5,shap,permutation,512.0,shap / permutation,0.548,384132.0,0.0254123659780336,0.6304697989623945,0.9916666666666667,0.9951048951048952,1.7753893017829932e-15
bike,gradient_boosting,12,5,shap,permutation,2048.0,shap / permutation,2.1522,1522237.0,0.009286641848783262,0.22978546564320104,1.0,0.9993006993006993,1.7695434364494965e-15
bike,gradient_boosting,12,5,shapiq,kernel,128.0,shapiq / kernel,1.5621,128101.0,0.1583199662481452,4.009293295436695,0.8666666666666667,0.925874125874126,2.112945449939799e-09
bike,gradient_boosting,12,5,shapiq,kernel,512.0,shapiq / kernel,1.8499,512101.0,0.060570862716228066,1.5012820137587912,0.9333333333333333,0.9615384615384617,2.236837061020288e-09
bike,gradient_boosting,12,5,shapiq,kernel,2048.0,shapiq / kernel,3.1809,2048101.0,0.01975998170864926,0.48885443097094466,0.9833333333333333,0.9937062937062937,2.2590786237568766e-09
bike,gradient_boosting,12,5,shapiq,permutation,128.0,shapiq / permutation,7.352,123101.0,0.11951292889238581,2.9266836313391735,0.95,0.9629370629370632,2.4143423827341993e-16
bike,gradient_boosting,12,5,shapiq,permutation,512.0,shapiq / permutation,17.6166,508101.0,0.0672043814303926,1.6630803561460292,0.975,0.9902097902097904,2.1337408467263496e-16
bike,gradient_boosting,12,5,shapiq,permutation,2048.0,shapiq / permutation,58.6735,2048101.0,0.029299337571604293,0.7209664657810985,0.9916666666666667,0.9972027972027974,5.068365244141769e-16
bike,gradient_boosting,12,5,lightshap,kernel,128.0,lightshap / kernel,1.6164,763510.0,0.03540315758563732,0.8780033164275799,0.9666666666666667,0.9923076923076923,1.1984023933668542e-16
bike,gradient_boosting,12,5,lightshap,kernel,512.0,lightshap / kernel,2.8884,1379510.0,0.034829670354095454,0.8636626614415013,0.9666666666666667,0.9923076923076923,9.178008573590054e-17
bike,gradient_boosting,12,5,lightshap,kernel,2048.0,lightshap / kernel,2.9033,1379510.0,0.034829670354095454,0.8636626614415013,0.9666666666666667,0.9923076923076923,9.178008573590054e-17
bike,gradient_boosting,12,5,lightshap,permutation,128.0,lightshap / permutation,1.5764,659510.0,0.027033354006908778,0.6697774688525473,0.9916666666666667,0.9951048951048952,1.2919362387028038e-16
