dataset,model,library,approximator,budget,method,seed_count,runtime_median,runtime_q25,runtime_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,rho_median,rho_q25,rho_q75,sign_agreement_median,sign_agreement_q25,sign_agreement_q75,rel_additivity_gap_median,rel_additivity_gap_q25,rel_additivity_gap_q75
ames_housing,gradient_boosting,shap,kernel,128.0,shap / kernel,10,0.13635,0.135825,0.13690000000000002,0.06261208364601518,0.058413660879989275,0.07131752949121271,0.978985739502839,0.9736442251817591,0.9833640299299535,0.97,0.9611774281063483,0.9775,6.280255555766787e-16,5.468985564386197e-16,7.711078901588149e-16
ames_housing,gradient_boosting,shap,kernel,512.0,shap / kernel,10,0.36729999999999996,0.361475,0.37815,0.027727941386373266,0.024564287740847308,0.029136431903230148,0.9910698210816754,0.9879174519741528,0.9914954487010058,0.9899494949494949,0.98989898989899,0.99,5.456317143220299e-16,4.848974110543211e-16,7.711078901588149e-16
ames_housing,gradient_boosting,shap,kernel,2048.0,shap / kernel,10,1.33525,1.308525,1.346275,0.010788952136868889,0.00913941545195842,0.011909582344020418,0.9957983747429592,0.9944848876148248,0.9966740328283822,1.0,1.0,1.0,5.31588425835522e-16,4.780814837949544e-16,7.594966495268687e-16
ames_housing,gradient_boosting,shap,permutation,128.0,shap / permutation,10,0.16175,0.160975,0.16265000000000002,0.043288545030550615,0.03886008317414581,0.04533958559504705,0.9905594405594407,0.9889860139860142,0.991601030548399,0.9833333333333333,0.9821969696969697,0.9906818181818182,4.869061374721686e-15,3.688489788535956e-15,5.2622674179646315e-15
ames_housing,gradient_boosting,shap,permutation,512.0,shap / permutation,10,0.5709,0.5675250000000001,0.5769,0.022374131261550072,0.02038022237514389,0.028674004496309517,0.9954545454545456,0.9935271745798062,0.9963286713286714,0.9916666666666667,0.9910631741140217,1.0,4.855607215335209e-15,3.5548272804871704e-15,5.131338782291594e-15
ames_housing,gradient_boosting,shap,permutation,2048.0,shap / permutation,10,2.2472000000000003,2.2359,2.267775,0.011879986145562222,0.010446803318171785,0.012800866748711478,0.9975524475524478,0.9972027972027974,0.9986001717580665,1.0,1.0,1.0,4.831239185945827e-15,3.5332366267193484e-15,5.1725303011770456e-15
ames_housing,gradient_boosting,shapiq,kernel,128.0,shapiq / kernel,10,1.5442,1.5319,1.565625,0.14581436170807716,0.12311826147422107,0.15849821620177704,0.9520979020979021,0.9444055944055946,0.9573426573426574,0.8949858757062148,0.8791666666666667,0.9,2.1472052163041643e-09,1.8907750795324274e-09,2.6866979541685337e-09
ames_housing,gradient_boosting,shapiq,kernel,512.0,shapiq / kernel,10,1.8792499999999999,1.870475,1.8882,0.06254039529509313,0.051086054765546736,0.0634234743945379,0.9804195804195805,0.9744755244755247,0.9865384615384616,0.9333333333333333,0.9195685670261942,0.9416666666666667,2.2475168260958968e-09,2.0436919595729263e-09,2.8701634539173134e-09
ames_housing,gradient_boosting,shapiq,kernel,2048.0,shapiq / kernel,10,3.30775,3.26825,3.33125,0.0190734523946307,0.017355865675526688,0.020532735646962348,0.9923076923076923,0.9900349650349651,0.9935314685314686,0.9648690292758089,0.9583333333333334,0.9691666666666666,2.2775836103001723e-09,2.049341537805521e-09,2.9060919335822996e-09
ames_housing,gradient_boosting,shapiq,permutation,128.0,shapiq / permutation,10,7.25745,7.1792,7.328325,0.10360664411121837,0.0902329670093837,0.11698488624512189,0.9765734265734267,0.9737762237762239,0.981818181818182,0.9791666666666666,0.9659090909090909,0.9890151515151515,5.714940045081705e-16,4.1735698783079343e-16,9.328340198832836e-16
ames_housing,gradient_boosting,shapiq,permutation,512.0,shapiq / permutation,10,17.3244,17.190175,17.507025,0.05394108712614791,0.05225397656054054,0.06030584912027066,0.990909090909091,0.9877622377622379,0.9928321678321679,0.9871212121212121,0.9818181818181818,0.9916313559322034,5.05348783433441e-16,4.274943347137394e-16,1.0143204720019422e-15
ames_housing,gradient_boosting,shapiq,permutation,2048.0,shapiq / permutation,10,57.90095,57.51,58.394149999999996,0.027199763091277723,0.026255892574745976,0.027466722152932874,0.9958041958041959,0.9940559440559442,0.996853146853147,0.9916666666666667,0.990909090909091,0.9916666666666667,6.750101529108185e-16,4.773451331701321e-16,8.87592256257975e-16
ames_housing,linear_regularized,dalex,permutation,128.0,dalex / permutation,10,0.8841,0.876575,0.88805,7.586514909933026e-15,6.337311309479682e-15,8.05907101439935e-15,1.0,1.0,1.0,1.0,1.0,1.0,7.222953780888858e-16,6.137772373556629e-16,9.650109153091876e-16
ames_housing,linear_regularized,dalex,permutation,512.0,dalex / permutation,10,3.4917,3.338375,3.52095,7.419200269378641e-15,6.360355834023334e-15,7.994386118400777e-15,1.0,1.0,1.0,1.0,1.0,1.0,7.50777223697708e-16,5.792742798354384e-16,1.0259939321206855e-15
ames_housing,linear_regularized,dalex,permutation,2048.0,dalex / permutation,10,13.18395,13.0765,13.355599999999999,7.45998398420572e-15,6.294088100348019e-15,7.965484465153428e-15,1.0,1.0,1.0,1.0,1.0,1.0,6.895828496790767e-16,5.697779094307452e-16,1.0259939321206855e-15
ames_housing,linear_regularized,lightshap,kernel,128.0,lightshap / kernel,10,0.051000000000000004,0.050225,0.051475,9.816437787795822e-15,9.37832620307272e-15,1.0825183989046129e-14,1.0,1.0,1.0,1.0,1.0,1.0,6.36332430118021e-17,3.6530340343578426e-17,8.319823874786559e-17
ames_housing,linear_regularized,lightshap,kernel,512.0,lightshap / kernel,10,0.04955,0.0494,0.05005,9.816437787795822e-15,9.37832620307272e-15,1.0825183989046129e-14,1.0,1.0,1.0,1.0,1.0,1.0,6.36332430118021e-17,3.6530340343578426e-17,8.319823874786559e-17
ames_housing,linear_regularized,lightshap,kernel,2048.0,lightshap / kernel,10,0.0495,0.049125,0.049775,9.816437787795822e-15,9.37832620307272e-15,1.0825183989046129e-14,1.0,1.0,1.0,1.0,1.0,1.0,6.36332430118021e-17,3.6530340343578426e-17,8.319823874786559e-17
ames_housing,linear_regularized,lightshap,permutation,128.0,lightshap / permutation,10,0.0701,0.06947500000000001,0.07037500000000001,7.763566841761015e-15,6.683956379214042e-15,8.538061769077086e-15,1.0,1.0,1.0,1.0,1.0,1.0,2.5897840955958186e-17,0.0,5.872199977279586e-17
ames_housing,linear_regularized,lightshap,permutation,512.0,lightshap / permutation,10,0.06955,0.06895,0.07,7.763566841761015e-15,6.683956379214042e-15,8.538061769077086e-15,1.0,1.0,1.0,1.0,1.0,1.0,2.5897840955958186e-17,0.0,5.872199977279586e-17
ames_housing,linear_regularized,lightshap,permutation,2048.0,lightshap / permutation,10,0.0696,0.069025,0.06997500000000001,7.763566841761015e-15,6.683956379214042e-15,8.538061769077086e-15,1.0,1.0,1.0,1.0,1.0,1.0,2.5897840955958186e-17,0.0,5.872199977279586e-17
ames_housing,linear_regularized,shap,kernel,128.0,shap / kernel,10,0.04755,0.0468,0.048575,0.004908583935408762,0.0019301199618543346,0.009794923780180596,0.9963237695942129,0.9951854140831632,0.9982502173821434,1.0,1.0,1.0,6.247095397281567e-16,3.367357821380383e-16,1.5344061556027812e-15
ames_housing,linear_regularized,shap,kernel,512.0,shap / kernel,10,0.1178,0.11665,0.11905,0.0033081082208893794,0.0015425173070277433,0.006953927552093104,0.9982502173821434,0.997549690913805,0.9982502173821434,1.0,1.0,1.0,6.365471008280424e-16,3.5667471070703254e-16,1.5631338942904998e-15
ames_housing,linear_regularized,shap,kernel,2048.0,shap / kernel,10,0.46155,0.456025,0.4646,0.0030709162085856274,0.0015331354063260313,0.006688047088159052,0.9982502173821434,0.9982502173821434,0.9982502173821434,1.0,1.0,1.0,6.403439990521272e-16,2.9813760693391074e-16,1.5590281327139031e-15
ames_housing,linear_regularized,shap,permutation,128.0,shap / permutation,10,0.054599999999999996,0.053675,0.055375,7.61775479501954e-15,6.3996519007068724e-15,8.307541029769757e-15,1.0,1.0,1.0,1.0,1.0,1.0,4.560400471813706e-15,3.7040399710204525e-15,5.273409089561281e-15
ames_housing,linear_regularized,shap,permutation,512.0,shap / permutation,10,0.15895,0.15525,0.1606,6.623174380704933e-15,5.639460046441446e-15,7.227912007736518e-15,1.0,1.0,1.0,1.0,1.0,1.0,4.70966549614655e-15,3.735930637215301e-15,5.283572925696531e-15
ames_housing,linear_regularized,shap,permutation,2048.0,shap / permutation,10,0.6046,0.594225,0.613125,6.42104300246633e-15,6.05022218072493e-15,7.114849516690202e-15,1.0,1.0,1.0,1.0,1.0,1.0,5.061170835315562e-15,3.937238657893201e-15,5.533922855763375e-15
ames_housing,linear_regularized,shapiq,kernel,128.0,shapiq / kernel,10,0.51715,0.512425,0.5247999999999999,1.5398308906701326e-07,1.3768616479651203e-07,1.7680693954325196e-07,1.0,1.0,1.0,1.0,1.0,1.0,4.469778825475268e-15,3.4139946583207873e-15,5.216871548154899e-15
ames_housing,linear_regularized,shapiq,kernel,512.0,shapiq / kernel,10,0.64505,0.636275,0.6543749999999999,2.8824389806741376e-07,2.5153429530300586e-07,3.220366045998441e-07,1.0,1.0,1.0,1.0,1.0,1.0,5.213143365152176e-15,4.159071949215436e-15,6.618580488164672e-15
ames_housing,linear_regularized,shapiq,kernel,2048.0,shapiq / kernel,10,1.29685,1.280775,1.317625,4.2112064022347556e-07,3.8852442310787085e-07,4.966396562557955e-07,1.0,1.0,1.0,1.0,1.0,1.0,5.032782718897057e-15,3.91968575248142e-15,5.6207751634682726e-15
ames_housing,linear_regularized,shapiq,permutation,128.0,shapiq / permutation,10,2.3078000000000003,2.284525,2.320475,7.751363110144612e-15,6.423742296999275e-15,8.54121110636202e-15,1.0,1.0,1.0,1.0,1.0,1.0,7.306668335161752e-16,6.129232713630614e-16,1.0337381755201353e-15
ames_housing,linear_regularized,shapiq,permutation,512.0,shapiq / permutation,10,5.58925,5.470875,5.60755,7.489889092361248e-15,6.2235687983577396e-15,7.912739360203869e-15,1.0,1.0,1.0,1.0,1.0,1.0,7.782720580895805e-16,6.770509981633749e-16,1.075967990822872e-15
ames_housing,linear_regularized,shapiq,permutation,2048.0,shapiq / permutation,10,18.6918,18.573625,18.795625,7.734314946114549e-15,6.795405530787962e-15,7.999446683656242e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.5221952601666745e-15,1.2297598523004017e-15,1.814142004586661e-15
ames_housing,random_forest,dalex,permutation,128.0,dalex / permutation,10,10.6817,10.582875,10.69975,0.10683359585973987,0.09564104350207739,0.12482577269102392,0.9667832167832169,0.9625874125874126,0.9756766040976568,0.9583333333333333,0.9404166666666667,0.9833333333333333,6.247600804593906e-16,3.95034573706552e-16,7.364231637289438e-16
ames_housing,random_forest,dalex,permutation,512.0,dalex / permutation,10,41.006699999999995,40.655325000000005,41.41565,0.04658144206937423,0.03917695860843777,0.06626383659515586,0.9905434915961232,0.9743006993006994,0.9914335664335665,0.9816666666666667,0.975,0.9916666666666667,6.727760276122599e-16,3.688294066986129e-16,7.613652972277779e-16
ames_housing,random_forest,dalex,permutation,2048.0,dalex / permutation,10,162.96245,161.58522499999998,164.62355,0.023614490545270816,0.021905609924573074,0.029474251940660456,0.9958041958041959,0.9926573426573427,0.9965004293951661,0.9916666666666667,0.9916666666666667,1.0,6.22926972947124e-16,3.572104735988553e-16,7.87957073787099e-16
ames_housing,random_forest,lightshap,kernel,128.0,lightshap / kernel,10,6.5709,5.7520999999999995,7.807525,0.027469251281555536,0.02330143837443768,0.029313819617142627,0.9933566433566434,0.9907342657342659,0.9942307692307694,0.9333333333333333,0.91875,0.9479166666666666,3.668599658723957e-17,2.8475265248655384e-17,1.0020731669041857e-16
ames_housing,random_forest,lightshap,kernel,512.0,lightshap / kernel,10,7.7652,7.108225,9.0529,0.02705564119410371,0.023050085218346252,0.02783529052444688,0.9930069930069931,0.9907342657342659,0.9942307692307693,0.9375,0.9125,0.9479166666666666,3.668599658723957e-17,2.8475265248655384e-17,7.564505712844191e-17
