dataset,model,library,approximator,method,device,n_features,runtime_median,runtime_q25,runtime_q75,gap_mean,gap_q25,gap_q75,rho_median,rho_q25,rho_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,sign_agreement_median,seed_count
ames_housing,transformer,shapiq_proxy,proxy,shapiq / proxyShap,cpu,79,388.21205,380.108475,393.8927,4.5886149507366533e-07,3.492788572409747e-07,4.7096337097564137e-07,0.6682874455591237,0.6100471879625344,0.712418145735566,0.9302910525457442,0.9006046108538682,1.0433306934435524,0.7097729257641922,10
bike,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,cpu,12,0.0303,0.03,0.0309,1.3594439355145213e-07,7.04762678941496e-08,1.6737778489571435e-07,0.9940559440559441,0.9903846153846155,0.9951048951048952,0.04378619199731566,0.039859694053715596,0.04542414474526736,1.0,10
bike,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,gpu,12,0.04375,0.042225,0.0447,1.696238998187415e-07,1.2704884787847996e-07,2.1250072135093533e-07,0.9940559440559441,0.9903846153846155,0.9951048951048952,0.04378617234534693,0.03985969485325023,0.04542413064530104,1.0,10
bike,cnn_1d,captum,gradient_shap,captum / gradient_shap,cpu,12,0.0789,0.0778,0.0811,0.05631543645072773,0.0424220514753568,0.06662177675426359,0.9905594405594407,0.9881118881118882,0.9923076923076923,0.058520194592908116,0.05652768077417268,0.061648074383218426,0.9916666666666667,10
bike,cnn_1d,captum,gradient_shap,captum / gradient_shap,gpu,12,0.11524999999999999,0.108675,0.11737500000000001,0.049866149292596876,0.046196719153990526,0.05515299197213557,0.9940559440559441,0.9903846153846155,0.9951048951048952,0.04378617234534693,0.03985969485325023,0.04542413064530104,1.0,10
bike,cnn_1d,shapiq,kernel,shapiq / kernel,cpu,12,0.60135,0.592825,0.6168,3.0223465534094974e-07,1.2576693716659886e-07,4.771803223632327e-07,0.9895104895104896,0.9870629370629371,0.9930069930069931,0.05561817071050282,0.049469461431420614,0.05691168176398952,0.9958333333333333,10
bike,cnn_1d,shapiq,permutation,shapiq / permutation,cpu,12,3.5092499999999998,3.462225,3.635025,3.26282221731452e-07,1.8998014952077843e-07,4.041814910775463e-07,0.9902097902097904,0.9872377622377624,0.9928321678321679,0.05553648274894657,0.05455784998963602,0.05765046957099832,0.9958333333333333,10
bike,cnn_1d,shapiq_proxy,proxy,shapiq / proxyShap,cpu,12,0.9748,0.96155,1.017925,3.832729230013676e-07,2.409205637668115e-07,5.308755187638257e-07,0.9870629370629371,0.9849650349650351,0.9924825174825175,0.06771857885809457,0.06420865784468999,0.07766764708909259,0.9916666666666667,10
bike,mlp,captum,deep_lift_shap,captum / deep_lift_shap,cpu,12,0.0171,0.0167,0.0172,1.0654856947992759e-07,8.819193000766668e-08,1.298005520476658e-07,0.991958041958042,0.9891608391608393,0.9935314685314687,0.06548406554429094,0.05981648919799472,0.0684828513085231,0.975,10
bike,mlp,captum,deep_lift_shap,captum / deep_lift_shap,gpu,12,0.03735,0.03615,0.039275,1.0053554901643592e-07,6.265084973458852e-08,1.373401174555834e-07,0.991958041958042,0.9891608391608393,0.9935314685314687,0.06548406828951892,0.059816471360512546,0.06848281964365503,0.975,10
bike,mlp,captum,gradient_shap,captum / gradient_shap,cpu,12,0.0601,0.058025,0.061675,0.04836541513159679,0.039042025649842875,0.05755409589794545,0.9895104895104896,0.988811188811189,0.9902097902097904,0.07737413913557545,0.07118639095664057,0.08369114769464353,0.9666666666666667,10
bike,mlp,captum,gradient_shap,captum / gradient_shap,gpu,12,0.1091,0.10355,0.1094,0.04808088267469916,0.038176938906823624,0.05024958188902,0.991958041958042,0.9891608391608393,0.9935314685314687,0.06548406828951892,0.059816471360512546,0.06848281964365503,0.975,10
bike,mlp,shapiq,kernel,shapiq / kernel,cpu,12,0.45505,0.438575,0.4612,1.0889964569379287e-07,6.686082031412004e-08,9.886237771940882e-08,0.9790209790209792,0.9715034965034965,0.983741258741259,0.10297927323915296,0.09796141160171365,0.11237900758131038,0.9477272727272728,10
bike,mlp,shapiq,permutation,shapiq / permutation,cpu,12,2.5671,2.471425,2.5858749999999997,1.566161188112767e-07,1.110668623041126e-07,1.715187119390952e-07,0.9828671328671329,0.9770979020979023,0.9867132867132868,0.10488431866716764,0.09970229395690741,0.11061795986680815,0.9583333333333334,10
bike,mlp,shapiq_proxy,proxy,shapiq / proxyShap,cpu,12,0.86095,0.824,0.8649249999999999,2.4338617162625745e-07,1.5573541164735628e-07,2.858086529246764e-07,0.9825174825174826,0.9739510489510491,0.9865384615384617,0.10427658010558125,0.10002214656827058,0.10944424341983011,0.9625,10
bike,transformer,captum,deep_lift_shap,captum / deep_lift_shap,cpu,12,0.59995,0.590025,0.606325,1.1167447726241861,0.9241720497645359,1.3132503298376954,0.5262237762237763,0.358916083916084,0.5872377622377624,1.1358894626037284,0.9798398535311745,1.2098633897506053,0.6833333333333333,10
bike,transformer,captum,deep_lift_shap,captum / deep_lift_shap,gpu,12,0.04965,0.049125,0.050624999999999996,1.11291239853341,0.8856569774110845,1.2981343317948544,0.5076923076923077,0.42430069930069936,0.5847902097902099,1.0852119523699049,0.9926621109158038,1.1772729280409746,0.7125,10
bike,transformer,captum,gradient_shap,captum / gradient_shap,cpu,12,1.59435,1.586425,1.6056499999999998,0.07128664037710347,0.048180466234432354,0.07912770059044184,0.9430069930069931,0.9110139860139861,0.9503496503496505,0.22235734601955143,0.2141386895173782,0.23387297692013945,0.8916666666666667,10
bike,transformer,captum,gradient_shap,captum / gradient_shap,gpu,12,0.17170000000000002,0.169325,0.173125,0.07897092971593364,0.07299713965679368,0.08079004705597773,0.5076923076923077,0.42430069930069936,0.5847902097902099,1.0852119523699049,0.9926621109158038,1.1772729280409746,0.7125,10
bike,transformer,shapiq,kernel,shapiq / kernel,cpu,12,55.41175,54.750125000000004,55.73605,1.948525673335577e-07,1.0256343199456788e-07,2.4882312816788743e-07,0.9370629370629371,0.9118881118881119,0.948776223776224,0.2198999709586449,0.19386355985815304,0.2407333586959903,0.8875,10
bike,transformer,shapiq,permutation,shapiq / permutation,cpu,12,33.27395,33.128325000000004,33.436899999999994,3.0785914602075377e-07,2.303090426613398e-07,3.800630382755281e-07,0.93986013986014,0.9113636363636364,0.9501748251748253,0.22106414711847633,0.19463323131355287,0.24020956804412574,0.8791666666666667,10
bike,transformer,shapiq_proxy,proxy,shapiq / proxyShap,cpu,12,55.0086,54.545075,55.35785,3.1208766769754443e-07,2.2552165167356508e-07,4.2375366075066215e-07,0.9370629370629371,0.9083916083916086,0.9477272727272728,0.21679226121855427,0.19554061184060842,0.24109381609461591,0.8875,10
covertype,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,cpu,54,0.09905,0.09615,0.100775,0.3019684367136295,0.19825284517466515,0.4344954708739936,0.9633000757704571,0.956945546322705,0.9678054638605993,0.18148201989260987,0.1496668708718366,0.2064761472448528,0.9835024928774929,10
