dataset,model,library,approximator,device,max_depth,seed,n_features,runtime_s
covertype,xgboost,woodelf,path_dependent,gpu,12,0,54,0.0
covertype,xgboost,woodelf,interventional,gpu,12,0,54,0.0
covertype,xgboost,woodelf,path_dependent,cpu,15,0,54,0.0001
covertype,xgboost,woodelf,interventional,cpu,15,0,54,0.0001
covertype,xgboost,woodelf,path_dependent,gpu,15,0,54,0.0
covertype,xgboost,woodelf,interventional,gpu,15,0,54,0.0
covertype,xgboost,woodelf,path_dependent,cpu,20,0,54,0.0001
covertype,xgboost,woodelf,interventional,cpu,20,0,54,0.0001
covertype,xgboost,woodelf,path_dependent,gpu,20,0,54,0.0
covertype,xgboost,woodelf,interventional,gpu,20,0,54,0.0
covertype,xgboost,woodelf,path_dependent,cpu,50,0,54,0.0001
covertype,xgboost,woodelf,interventional,cpu,50,0,54,0.0001
covertype,xgboost,woodelf,path_dependent,gpu,50,0,54,0.0
covertype,xgboost,woodelf,interventional,gpu,50,0,54,0.0
covertype,xgboost,woodelf,path_dependent,cpu,80,0,54,0.0001
covertype,xgboost,woodelf,interventional,cpu,80,0,54,0.0001
covertype,xgboost,woodelf,path_dependent,gpu,80,0,54,0.0
covertype,xgboost,woodelf,interventional,gpu,80,0,54,0.0
covertype,lightgbm,woodelf,path_dependent,cpu,4,0,54,0.0001
covertype,lightgbm,woodelf,interventional,cpu,4,0,54,0.0001
covertype,lightgbm,woodelf,path_dependent,gpu,4,0,54,0.0
covertype,lightgbm,woodelf,interventional,gpu,4,0,54,0.0
covertype,lightgbm,woodelf,path_dependent,cpu,8,0,54,0.0001
covertype,lightgbm,woodelf,interventional,cpu,8,0,54,0.0001
covertype,lightgbm,woodelf,path_dependent,gpu,8,0,54,0.0
covertype,lightgbm,woodelf,interventional,gpu,8,0,54,0.0
covertype,lightgbm,woodelf,path_dependent,cpu,12,0,54,0.0001
covertype,lightgbm,woodelf,interventional,cpu,12,0,54,0.0001
covertype,lightgbm,woodelf,path_dependent,gpu,12,0,54,0.0
covertype,lightgbm,woodelf,interventional,gpu,12,0,54,0.0
covertype,lightgbm,woodelf,path_dependent,cpu,15,0,54,0.0001
covertype,lightgbm,woodelf,interventional,cpu,15,0,54,0.0001
covertype,lightgbm,woodelf,path_dependent,gpu,15,0,54,0.0
covertype,lightgbm,woodelf,interventional,gpu,15,0,54,0.0
covertype,lightgbm,woodelf,path_dependent,cpu,20,0,54,0.0001
covertype,lightgbm,woodelf,interventional,cpu,20,0,54,0.0001
covertype,lightgbm,woodelf,path_dependent,gpu,20,0,54,0.0
covertype,lightgbm,woodelf,interventional,gpu,20,0,54,0.0
covertype,lightgbm,woodelf,path_dependent,cpu,50,0,54,0.0001
covertype,lightgbm,woodelf,interventional,cpu,50,0,54,0.0001
covertype,lightgbm,woodelf,path_dependent,gpu,50,0,54,0.0
covertype,lightgbm,woodelf,interventional,gpu,50,0,54,0.0
covertype,lightgbm,woodelf,path_dependent,cpu,80,0,54,0.0001
covertype,lightgbm,woodelf,interventional,cpu,80,0,54,0.0001
covertype,lightgbm,woodelf,path_dependent,gpu,80,0,54,0.0
covertype,lightgbm,woodelf,interventional,gpu,80,0,54,0.0
covertype,random_forest,woodelf,path_dependent,cpu,4,0,54,0.2968
