dataset,model,library,approximator,device,seed,n_features,runtime_s,relative_additivity_gap,mean_sample_rho,relative_mae,sign_agreement,method
ames_housing,mlp,captum,deep_lift_shap,gpu,2,79,0.0371,6.224452659944589e-08,0.9878382828221233,0.08515812810614697,0.9623188405797102,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,2,79,0.1015,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,2,79,0.2296,0.3743902220248091,0.6879195030707476,0.9195706631368762,0.7725947521865889,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,2,79,0.1143,0.0430876982998072,0.9961855761670492,0.05018524215308699,0.9854862119013063,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,2,79,0.0401,5.963563201341866e-07,0.9961855761670492,0.05018524215308699,0.9854862119013063,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,gpu,2,12,0.099,0.035979283624105,0.9923076923076923,0.0682652589620852,0.9666666666666667,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,2,12,0.0366,1.012050056991676e-07,0.9923076923076923,0.0682652589620852,0.9666666666666667,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,2,12,0.1703,0.0737463234113471,0.6335664335664337,0.9390792892791315,0.8083333333333333,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,2,12,0.0495,0.8577919252551208,0.6335664335664337,0.9390792892791315,0.8083333333333333,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,2,12,0.1177,0.0545702896201524,0.9853146853146855,0.05318030989894212,0.9916666666666667,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,2,12,0.0426,1.535232214108545e-07,0.9853146853146855,0.05318030989894212,0.9916666666666667,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,2,47,0.1037,0.1482339443859494,0.9431506316361757,0.38051230742122827,0.9486404833836858,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,gpu,2,47,0.0347,0.8328859456944834,0.9431506316361757,0.38051230742122827,0.9486404833836858,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,2,47,0.1387,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,2,47,0.1297,0.9923044672613308,0.7410094519655364,0.7335406482231311,0.8,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,2,47,0.1096,0.0876240291643241,0.9788077334749674,0.21605935434240772,0.9909365558912386,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,2,47,0.0301,0.31104781932511,0.9788077334749674,0.21605935434240772,0.9909365558912386,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,2,54,0.158,0.0633385173183179,0.9335540870322099,0.2445450899623876,0.9313984168865436,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,2,54,0.0509,0.1387379154447443,0.9335540870322099,0.2445450899623876,0.9313984168865436,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,2,54,0.1286,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,2,54,0.1247,1.3921896459591947,0.4731676775582077,1.1236975719059763,0.6473684210526316,captum / deep_lift_shap
