dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,cross_method_rho_mean,hit_time_cap,evals_missing
ames_housing,linear_regularized,32,0,shapiq,kernel,512,shapiq / kernel,0.8421,512101.0,0.9681081175153975,False,False
ames_housing,linear_regularized,32,0,shapiq,kernel,1024,shapiq / kernel,1.1557,1024101.0,0.9690225000661791,False,False
ames_housing,linear_regularized,32,0,shapiq,permutation,512,shapiq / permutation,3.3746,498101.0,0.9681081175153975,False,False
ames_housing,linear_regularized,32,0,shapiq,permutation,1024,shapiq / permutation,5.0619,994101.0,0.9690225000661791,False,False
ames_housing,linear_regularized,32,0,lightshap,kernel,512,lightshap / kernel,28.9569,31744110.0,0.9681081175153975,False,False
ames_housing,linear_regularized,32,0,lightshap,kernel,1024,lightshap / kernel,57.87,63488110.0,0.9690225000661791,False,False
ames_housing,linear_regularized,32,0,lightshap,permutation,512,lightshap / permutation,27.9724,29760110.0,0.9681081175153975,False,False
ames_housing,linear_regularized,32,0,lightshap,permutation,1024,lightshap / permutation,55.2966,59456110.0,0.9690225000661791,False,False
ames_housing,linear_regularized,32,0,dalex,permutation,512,dalex / permutation,3.3065,529111.0,0.9681081175153975,False,False
ames_housing,linear_regularized,32,0,dalex,permutation,1024,dalex / permutation,6.5868,1057111.0,0.9690225000661791,False,False
ames_housing,gradient_boosting,32,0,shap,kernel,512,shap / kernel,0.4717,512110.0,0.8051864414038326,False,False
ames_housing,gradient_boosting,32,0,shap,kernel,1024,shap / kernel,0.8679,1024110.0,0.8149473141453093,False,False
ames_housing,gradient_boosting,32,0,shap,permutation,512,shap / permutation,4.667,343189.0,0.9477170451179365,False,False
ames_housing,gradient_boosting,32,0,shap,permutation,1024,shap / permutation,0.7174,704994.0,0.9585137736703179,False,False
ames_housing,gradient_boosting,32,0,shapiq,kernel,512,shapiq / kernel,2.4211,512101.0,0.9000130574551299,False,False
ames_housing,gradient_boosting,32,0,shapiq,kernel,1024,shapiq / kernel,3.1962,1024101.0,0.929750189969535,False,False
ames_housing,gradient_boosting,32,0,shapiq,permutation,512,shapiq / permutation,9.6247,498101.0,0.9445060782230902,False,False
ames_housing,gradient_boosting,32,0,shapiq,permutation,1024,shapiq / permutation,14.4709,994101.0,0.956758856396012,False,False
ames_housing,gradient_boosting,32,0,lightshap,kernel,512,lightshap / kernel,53.5357,31744110.0,0.9478544753149647,False,False
ames_housing,gradient_boosting,32,0,lightshap,kernel,1024,lightshap / kernel,108.0288,63488110.0,0.9577650864079693,False,False
ames_housing,gradient_boosting,32,0,lightshap,permutation,512,lightshap / permutation,51.0685,29760110.0,0.9488846141710184,False,False
ames_housing,gradient_boosting,32,0,lightshap,permutation,1024,lightshap / permutation,103.8239,59456110.0,0.9584342346074252,False,False
ames_housing,gradient_boosting,32,0,dalex,permutation,512,dalex / permutation,9.003,529111.0,0.9406344306588609,False,False
ames_housing,gradient_boosting,32,0,dalex,permutation,1024,dalex / permutation,17.694,1057111.0,0.9545818320282023,False,False
ames_housing,random_forest,79,0,shap,kernel,512,shap / kernel,4.9694,512110.0,0.5515184342595104,False,False
ames_housing,random_forest,79,0,shap,kernel,1024,shap / kernel,8.9995,1024110.0,0.5699159487019948,False,False
ames_housing,random_forest,79,0,shap,permutation,512,shap / permutation,7.0392,269243.0,0.8304052440646803,False,False
ames_housing,random_forest,79,0,shap,permutation,1024,shap / permutation,2.3977,487212.0,0.8623315757027673,False,False
ames_housing,random_forest,79,0,shapiq,kernel,512,shapiq / kernel,9.2928,512101.0,0.6064449030546457,False,False
ames_housing,random_forest,79,0,shapiq,kernel,1024,shapiq / kernel,11.4225,1024101.0,0.6820528088055915,False,False
ames_housing,random_forest,79,0,shapiq,permutation,512,shapiq / permutation,28.5622,470101.0,0.8221321537405933,False,False
ames_housing,random_forest,79,0,shapiq,permutation,1024,shapiq / permutation,36.7779,1016101.0,0.8574385801874645,False,False
ames_housing,random_forest,79,0,lightshap,kernel,512,lightshap / kernel,292.0699,79872110.0,0.8231760428652479,False,False
ames_housing,random_forest,79,0,lightshap,kernel,1024,lightshap / kernel,580.5358,159744110.0,0.8555055122513133,False,False
ames_housing,random_forest,79,0,lightshap,permutation,512,lightshap / permutation,285.8976,77982110.0,0.8403751288910865,False,False
ames_housing,random_forest,79,0,lightshap,permutation,1024,lightshap / permutation,572.6139,155806110.0,0.8663059189812558,False,False
ames_housing,random_forest,79,0,dalex,permutation,512,dalex / permutation,35.5206,481111.0,0.8244452913790794,False,False
ames_housing,random_forest,79,0,dalex,permutation,1024,dalex / permutation,76.8146,1041111.0,0.8574319088535315,False,False
ames_housing,decision_tree,79,0,shap,kernel,512,shap / kernel,0.4527,512110.0,0.49326614835566535,False,False
ames_housing,decision_tree,79,0,shap,kernel,1024,shap / kernel,1.0359,1024110.0,0.5581427461235663,False,False
ames_housing,decision_tree,79,0,shap,permutation,512,shap / permutation,7.7555,269243.0,0.6786400786724326,False,False
ames_housing,decision_tree,79,0,shap,permutation,1024,shap / permutation,0.7112,487212.0,0.7457326984873168,False,False
ames_housing,decision_tree,79,0,shapiq,kernel,512,shapiq / kernel,1.901,512101.0,0.4356386020362566,False,False
ames_housing,decision_tree,79,0,shapiq,kernel,1024,shapiq / kernel,1.6767,1024101.0,0.5187438450145377,False,False
ames_housing,decision_tree,79,0,shapiq,permutation,512,shapiq / permutation,2.7702,470101.0,0.6395331904600255,False,False
ames_housing,decision_tree,79,0,shapiq,permutation,1024,shapiq / permutation,3.6308,1016101.0,0.7267796191977117,False,False
ames_housing,decision_tree,79,0,lightshap,kernel,512,lightshap / kernel,101.2196,79872110.0,0.6617275337001504,False,False
ames_housing,decision_tree,79,0,lightshap,kernel,1024,lightshap / kernel,201.9467,159744110.0,0.7302564708028124,False,False
ames_housing,decision_tree,79,0,lightshap,permutation,512,lightshap / permutation,94.5322,77982110.0,0.7078932572367854,False,False
ames_housing,decision_tree,79,0,lightshap,permutation,1024,lightshap / permutation,187.5752,155806110.0,0.7747641531447794,False,False
ames_housing,decision_tree,79,0,dalex,permutation,512,dalex / permutation,3.7249,481111.0,0.6525635416279632,False,False
ames_housing,decision_tree,79,0,dalex,permutation,1024,dalex / permutation,8.005,1041111.0,0.7498914545827974,False,False
ames_housing,linear_regularized,79,0,shap,kernel,512,shap / kernel,0.8214,512110.0,0.5611223356213236,False,False
ames_housing,linear_regularized,79,0,shap,kernel,1024,shap / kernel,1.4335,1024110.0,0.566052354828339,False,False
ames_housing,linear_regularized,79,0,shap,permutation,512,shap / permutation,6.5591,269243.0,0.9268359342754827,False,False
ames_housing,linear_regularized,79,0,shap,permutation,1024,shap / permutation,0.4212,487212.0,0.927662991128123,False,False
ames_housing,linear_regularized,79,0,shapiq,kernel,512,shapiq / kernel,1.298,512101.0,0.9268306995199492,False,False
ames_housing,linear_regularized,79,0,shapiq,kernel,1024,shapiq / kernel,1.6471,1024101.0,0.927653288495217,False,False
ames_housing,linear_regularized,79,0,shapiq,permutation,512,shapiq / permutation,2.8647,470101.0,0.9268350672024085,False,False
ames_housing,linear_regularized,79,0,shapiq,permutation,1024,shapiq / permutation,3.718,1016101.0,0.9276573984995015,False,False
ames_housing,linear_regularized,79,0,lightshap,kernel,512,lightshap / kernel,111.3132,79872110.0,0.9268327280895114,False,False
ames_housing,linear_regularized,79,0,lightshap,kernel,1024,lightshap / kernel,222.8827,159744110.0,0.9276577513467728,False,False
ames_housing,linear_regularized,79,0,lightshap,permutation,512,lightshap / permutation,109.6281,77982110.0,0.9268339452342116,False,False
ames_housing,linear_regularized,79,0,lightshap,permutation,1024,lightshap / permutation,217.4316,155806110.0,0.9276565342094795,False,False
ames_housing,linear_regularized,79,0,dalex,permutation,512,dalex / permutation,3.7054,481111.0,0.9268403612993339,False,False
ames_housing,linear_regularized,79,0,dalex,permutation,1024,dalex / permutation,7.7935,1041111.0,0.9276631654341368,False,False
ames_housing,gradient_boosting,79,0,shap,kernel,512,shap / kernel,0.5924,512110.0,0.5632117120052316,False,False
ames_housing,gradient_boosting,79,0,shap,kernel,1024,shap / kernel,1.1078,1024110.0,0.5742666017877586,False,False
ames_housing,gradient_boosting,79,0,shap,permutation,512,shap / permutation,4.7801,269243.0,0.8556471172193576,False,False
ames_housing,gradient_boosting,79,0,shap,permutation,1024,shap / permutation,0.726,487212.0,0.8626250688426937,False,False
ames_housing,gradient_boosting,79,0,shapiq,kernel,512,shapiq / kernel,3.0905,512101.0,0.6756685959396908,False,False
ames_housing,gradient_boosting,79,0,shapiq,kernel,1024,shapiq / kernel,3.4905,1024101.0,0.7428773804424156,False,False
ames_housing,gradient_boosting,79,0,shapiq,permutation,512,shapiq / permutation,7.5572,470101.0,0.843441020617847,False,False
ames_housing,gradient_boosting,79,0,shapiq,permutation,1024,shapiq / permutation,9.7622,1016101.0,0.8549681469113082,False,False
ames_housing,gradient_boosting,79,0,lightshap,kernel,512,lightshap / kernel,457.2257,79872110.0,0.8477107946817036,False,False
ames_housing,gradient_boosting,79,0,lightshap,kernel,1024,lightshap / kernel,600.0006,105222110.0,,True,False
ames_housing,gradient_boosting,79,0,lightshap,permutation,512,lightshap / permutation,138.8965,77982110.0,0.8602095031744322,False,False
ames_housing,gradient_boosting,79,0,lightshap,permutation,1024,lightshap / permutation,281.2235,155806110.0,0.8631612696383018,False,False
ames_housing,gradient_boosting,79,0,dalex,permutation,512,dalex / permutation,8.931,481111.0,0.8419794465041193,False,False
ames_housing,gradient_boosting,79,0,dalex,permutation,1024,dalex / permutation,19.2272,1041111.0,0.8579985030677472,False,False
gisette,random_forest,14,0,shap,kernel,512,shap / kernel,1.2959,512110.0,0.9641706296536939,False,False
gisette,random_forest,14,0,shap,kernel,1024,shap / kernel,2.3299,1024110.0,0.9736156571425224,False,False
gisette,random_forest,14,0,shap,permutation,512,shap / permutation,6.4819,381994.0,0.9743070517754688,False,False
gisette,random_forest,14,0,shap,permutation,1024,shap / permutation,4.309,773060.0,0.9868154936011005,False,False
gisette,random_forest,14,0,shapiq,kernel,512,shapiq / kernel,8.1749,512101.0,0.9599853202464649,False,False
gisette,random_forest,14,0,shapiq,kernel,1024,shapiq / kernel,9.6638,1024101.0,0.9727151794392993,False,False
gisette,random_forest,14,0,shapiq,permutation,512,shapiq / permutation,64.796,509101.0,0.9725438985749603,False,False
gisette,random_forest,14,0,shapiq,permutation,1024,shapiq / permutation,117.5804,1016101.0,0.9816363333963207,False,False
gisette,random_forest,14,0,lightshap,kernel,512,lightshap / kernel,65.7782,13312110.0,0.9804345000640741,False,False
gisette,random_forest,14,0,lightshap,kernel,1024,lightshap / kernel,130.6084,26624110.0,0.988252660053639,False,False
gisette,random_forest,14,0,lightshap,permutation,512,lightshap / permutation,61.3551,11292110.0,0.9801349111813448,False,False
gisette,random_forest,14,0,lightshap,permutation,1024,lightshap / permutation,122.9,22556110.0,0.9883267387006102,False,False
gisette,random_forest,14,0,dalex,permutation,512,dalex / permutation,39.8625,556111.0,0.974567145613579,False,False
gisette,random_forest,14,0,dalex,permutation,1024,dalex / permutation,77.43,1096111.0,0.9871513032336044,False,False
gisette,decision_tree,14,0,shap,kernel,512,shap / kernel,0.1336,512110.0,0.9105523255934408,False,False
gisette,decision_tree,14,0,shap,kernel,1024,shap / kernel,0.2254,1024110.0,0.9440747479874935,False,False
gisette,decision_tree,14,0,shap,permutation,512,shap / permutation,4.553,381994.0,0.9040670998482249,False,False
gisette,decision_tree,14,0,shap,permutation,1024,shap / permutation,0.2905,773060.0,0.9490050515152912,False,False
gisette,decision_tree,14,0,shapiq,kernel,512,shapiq / kernel,0.7326,512101.0,0.8926955196937046,False,False
gisette,decision_tree,14,0,shapiq,kernel,1024,shapiq / kernel,0.918,1024101.0,0.945919930512746,False,False
gisette,decision_tree,14,0,shapiq,permutation,512,shapiq / permutation,4.5905,509101.0,0.8811132030332735,False,False
