dataset,model,n_features,seed,library,backend,approximator,budget,method,device,imputer,n_background,n_eval,runtime_s,n_model_evals,relative_additivity_gap,relative_mae,mean_abs_diff,sign_agreement,mean_sample_rho
diabetes_130,transformer,47,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,228.5606,512101,3.803450902908251e-07,0.36351587848388,0.00024631289159489454,0.91875,0.9059994890190793
diabetes_130,transformer,47,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,228.061,512101,2.0686731344903977e-07,0.08554968806683662,6.586909562485336e-05,0.98125,0.9715584358513842
diabetes_130,transformer,47,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,218.9327,508101,5.780636757913365e-06,0.07690508751830975,5.909173009496962e-05,0.984375,0.9787725181247137
diabetes_130,cnn_1d,47,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.1343,0,0.1304530002751328,0.13183873702427856,0.0002609872368029368,0.996875,0.9893403441682599
diabetes_130,cnn_1d,47,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.0997,0,0.1614309337465671,0.13183873702427856,0.0002609872368029368,0.996875,0.9893403441682599
diabetes_130,cnn_1d,47,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.3883,0,0.1243764579829812,0.12754835070256448,0.0002600423833385086,0.99375,0.9777127151051623
diabetes_130,cnn_1d,47,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.048,0,0.1514086779765308,0.15068529467137856,0.0002879495997362067,0.996875,0.9867590822179733
diabetes_130,cnn_1d,47,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,399.556,47104110,7.20294838898569e-07,0.19389856082392556,0.00036656983032682305,0.99375,0.96811415193138
diabetes_130,cnn_1d,47,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,372.624,45150110,7.20294838898569e-07,0.19361149146834744,0.00036594582143539383,0.99375,0.9713523210835145
diabetes_130,cnn_1d,47,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,2.6516,529111,9.886278524295829e-07,0.1967437101870969,0.00037189680360068706,0.99375,0.9844287762906309
diabetes_130,cnn_1d,47,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,1.3932,512101,8.494350597926807e-07,0.5954341061564491,0.0009721590471682261,0.984375,0.9202115684023063
diabetes_130,cnn_1d,47,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,1.1485,512101,7.201963966426403e-07,0.2141203028807268,0.0004087578989025857,0.990625,0.9640703510150604
diabetes_130,cnn_1d,47,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,1.7393,508101,8.649720859803955e-07,0.19560457710133944,0.00036936024415386233,0.996875,0.9761540567202374
covertype,mlp,54,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.0886,0,0.0596661584339684,0.34877839643600345,0.00266201447687443,0.9303621169916435,0.924700241837547
covertype,mlp,54,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.0554,0,0.3273703648181633,0.34877839643600345,0.00266201447687443,0.9303621169916435,0.924700241837547
covertype,mlp,54,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.3662,0,0.0711451001615274,0.1300926549887719,0.0010003122713565509,0.9693593314763231,0.97045827398708
covertype,mlp,54,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.0226,0,0.2327823536661787,0.3699619073348627,0.0026847082594502825,0.9164345403899722,0.8796564597112763
covertype,mlp,54,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,49.7641,54272110,1.747270679161675e-07,0.14969347481796644,0.0011459748838265036,0.9777158774373259,0.951502745022118
covertype,mlp,54,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,48.5134,52332110,1.8206083775462498e-07,0.1421006000685535,0.0010844434416261105,0.9749303621169917,0.9631466037649545
covertype,mlp,54,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,2.2759,496111,2.88657183261184e-07,0.18904210874245975,0.0014446674618716596,0.9610027855153204,0.9594983437650028
covertype,mlp,54,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,1.0266,512101,3.67958002613587e-07,0.32796743556817615,0.0022679656894703747,0.8969359331476323,0.8617753491330771
covertype,mlp,54,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,0.6964,512101,2.203470635965186e-07,0.41354489554018914,0.003554783897592516,0.8440111420612814,0.7597146692524027
covertype,mlp,54,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,1.0418,479101,2.22909936034048e-07,0.19335544046177508,0.001473985516634057,0.947075208913649,0.9410163659558132
covertype,transformer,54,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,7.2169,0,0.0790947882138788,1.1372053510838245,0.01150231572609536,0.675,0.40129818728726363
