dataset,model,n_background,n_features,n_samples,max_depth,n_estimators,max_depth_config,order,backend,library,mode,seed,imputer,n_eval,runtime_s,additivity_gap,relative_additivity_gap,mean_abs_diff,relative_mae,sign_agreement,mean_sample_rho,is_failure
gisette,lightgbm,100,1000,10000,8,100,8,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5798,1.341149413747189e-14,1.8770505809015658e-15,6.729216319889429e-10,5.145966239139259e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,8,100,8,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,6.6711,1.105811372248411e-07,1.499313178833124e-08,5.260353461187775e-10,4.003791115465638e-08,1.0,0.9999999999999998,False
gisette,lightgbm,100,1000,10000,8,100,8,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.8159,2.1389894045320547e-06,2.993694261925111e-07,2.0187647051668712e-09,1.5437897258332336e-07,1.0,1.0,False
gisette,lightgbm,100,1000,10000,8,100,8,1,woodelf_interventional,woodelf,interventional,0,marginal,10,0.9338,1.698744434897037e-07,2.3032408443511697e-08,5.260353461187775e-10,4.003791115465638e-08,1.0,0.9999999999999998,False
gisette,lightgbm,100,1000,10000,8,100,8,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,4.4778,4.5297099404706376e-15,6.339707259998664e-16,6.729216148057932e-10,5.1459661077362775e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,12,100,12,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0443,3.463895836830489e-15,5.139162390510385e-16,5.607595904500287e-10,4.2172973687491424e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,12,100,12,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5829,5.697664562376303e-13,8.453263265416438e-14,5.607607110272363e-10,4.217305796259677e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,12,100,12,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,6.9266,9.655411483677769e-08,1.3891897046097468e-08,5.195156881422662e-10,3.906743202632723e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,12,100,12,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.751,3.301273386746573e-06,4.897889783396241e-07,1.6822754224164408e-09,1.2651866919965463e-07,1.0,1.0,False
gisette,lightgbm,100,1000,10000,12,100,12,1,woodelf_interventional,woodelf,interventional,0,marginal,10,1.0881,1.5807009683399549e-07,2.2742619669774053e-08,5.195156881422662e-10,3.906743202632723e-08,1.0,1.0,False
