dataset,model,library,backend,approximator,budget,method,is_reference,seed_count,runtime_median,runtime_q25,runtime_q75,relative_mae_median,rho_median
bike,decision_tree,lightshap,lightshap_approx,kernel,512.0,lightshap / kernel,False,10,5.879,4.48095,8.60435,0.03063080727717047,0.9867132867132867
bike,decision_tree,lightshap,lightshap_approx,kernel,2048.0,lightshap / kernel,False,10,8.093250000000001,7.0808,10.784975,0.029660407836001254,0.9877622377622377
bike,decision_tree,lightshap,lightshap_approx,permutation,128.0,lightshap / permutation,False,10,2.4259,2.195,2.644375,0.035135358373550266,0.9905594405594407
bike,decision_tree,lightshap,lightshap_approx,permutation,512.0,lightshap / permutation,False,10,5.6282,4.297325,8.27535,0.0281690689828987,0.9944055944055945
bike,decision_tree,lightshap,lightshap_approx,permutation,2048.0,lightshap / permutation,False,10,7.8119499999999995,6.875275,10.25275,0.026826957140397248,0.9947552447552448
bike,decision_tree,shap,shap_approx,kernel,128.0,shap / kernel,False,10,0.051449999999999996,0.050775,0.0524,0.12246268072550173,0.9360784933171153
bike,decision_tree,shap,shap_approx,kernel,512.0,shap / kernel,False,10,0.11560000000000001,0.114175,0.11672500000000001,0.05554293085852269,0.976008502012401
bike,decision_tree,shap,shap_approx,kernel,2048.0,shap / kernel,False,10,0.4495,0.442525,0.453175,0.020340486367209743,0.9935216637208597
bike,decision_tree,shap,shap_approx,permutation,128.0,shap / permutation,False,10,0.04765,0.047525,0.0479,0.14397012571209344,0.9538461538461539
bike,decision_tree,shap,shap_approx,permutation,512.0,shap / permutation,False,10,0.16325,0.162075,0.16465000000000002,0.07036737128542603,0.9793706293706295
bike,decision_tree,shap,shap_approx,permutation,2048.0,shap / permutation,False,10,0.6368499999999999,0.6329,0.6419999999999999,0.03602806984081207,0.9923076923076923
bike,decision_tree,shapiq,shapiq_approx,kernel,128.0,shapiq / kernel,False,10,0.49685,0.492325,0.502,0.22619458890312233,0.8755244755244757
bike,decision_tree,shapiq,shapiq_approx,kernel,512.0,shapiq / kernel,False,10,0.6366499999999999,0.6318,0.638525,0.085430947130992,0.9608391608391609
bike,decision_tree,shapiq,shapiq_approx,kernel,2048.0,shapiq / kernel,False,10,1.3364,1.3214000000000001,1.34235,0.03008808072858404,0.9916083916083916
bike,decision_tree,shapiq,shapiq_approx,permutation,128.0,shapiq / permutation,False,10,2.17645,2.157775,2.2077,0.2126917627687575,0.933916083916084
bike,decision_tree,shapiq,shapiq_approx,permutation,512.0,shapiq / permutation,False,10,5.261950000000001,5.237325,5.297700000000001,0.10668294804497286,0.9769230769230771
bike,decision_tree,shapiq,shapiq_approx,permutation,2048.0,shapiq / permutation,False,10,17.880200000000002,17.497049999999998,17.960475,0.05259794647695576,0.9874125874125876
bike,gradient_boosting,dalex,dalex_approx,permutation,128.0,dalex / permutation,False,10,2.3888,2.37065,2.4012000000000002,0.12491208780044374,0.9758741258741259
bike,gradient_boosting,dalex,dalex_approx,permutation,512.0,dalex / permutation,False,10,9.20995,9.150025,9.2532,0.053103312733521896,0.9888111888111889
bike,gradient_boosting,dalex,dalex_approx,permutation,2048.0,dalex / permutation,False,10,36.33385,35.987750000000005,36.5167,0.028576295864607415,0.9958041958041959
bike,gradient_boosting,lightshap,lightshap_approx,kernel,128.0,lightshap / kernel,False,10,1.63225,1.358275,1.800375,0.03413519748727674,0.9902097902097904
bike,gradient_boosting,lightshap,lightshap_approx,kernel,512.0,lightshap / kernel,False,10,1.7391999999999999,1.4060000000000001,2.0028,0.03362746445237083,0.9902097902097904
bike,gradient_boosting,lightshap,lightshap_approx,kernel,2048.0,lightshap / kernel,False,10,1.74305,1.4078,2.006675,0.03362746445237083,0.9902097902097904
bike,gradient_boosting,lightshap,lightshap_approx,permutation,128.0,lightshap / permutation,False,10,1.5856,1.3144500000000001,1.7602,0.02662755270960928,0.9940559440559442
bike,gradient_boosting,lightshap,lightshap_approx,permutation,512.0,lightshap / permutation,False,10,1.65875,1.370025,1.9315,0.026202743441061802,0.9944055944055945
bike,gradient_boosting,lightshap,lightshap_approx,permutation,2048.0,lightshap / permutation,False,10,1.66215,1.3716249999999999,1.9263000000000001,0.026202743441061802,0.9944055944055945
bike,gradient_boosting,shap,shap_approx,kernel,128.0,shap / kernel,False,10,0.12695,0.12614999999999998,0.12777500000000003,0.06943288811780646,0.9786354762686698
bike,gradient_boosting,shap,shap_approx,kernel,512.0,shap / kernel,False,10,0.3256,0.323025,0.32915,0.035842561192147904,0.9898438997620833
bike,gradient_boosting,shap,shap_approx,kernel,2048.0,shap / kernel,False,10,1.1741000000000001,1.1653,1.19455,0.020916546188686096,0.9964989012112977
bike,gradient_boosting,shap,shap_approx,permutation,128.0,shap / permutation,False,10,0.15275,0.15142499999999998,0.1534,0.04593429282695421,0.9895104895104897
bike,gradient_boosting,shap,shap_approx,permutation,512.0,shap / permutation,False,10,0.5431999999999999,0.5418999999999999,0.547475,0.023893927900006016,0.9951048951048952
bike,gradient_boosting,shap,shap_approx,permutation,2048.0,shap / permutation,False,10,2.1421,2.1293249999999997,2.167875,0.011706768613061703,0.9982517482517483
bike,gradient_boosting,shapiq,shapiq_approx,kernel,128.0,shapiq / kernel,False,10,1.5572,1.541775,1.5633000000000001,0.1569451511903975,0.9307692307692309
bike,gradient_boosting,shapiq,shapiq_approx,kernel,512.0,shapiq / kernel,False,10,1.83835,1.819025,1.849175,0.060251377161172126,0.983916083916084
bike,gradient_boosting,shapiq,shapiq_approx,kernel,2048.0,shapiq / kernel,False,10,3.1616999999999997,3.131175,3.177275,0.020219420216964393,0.9951048951048952
bike,gradient_boosting,shapiq,shapiq_approx,permutation,128.0,shapiq / permutation,False,10,7.3139,7.256,7.324624999999999,0.11830329485693952,0.9727272727272729
bike,gradient_boosting,shapiq,shapiq_approx,permutation,512.0,shapiq / permutation,False,10,17.4473,17.3726,17.605649999999997,0.05914474711165399,0.9895104895104897
bike,gradient_boosting,shapiq,shapiq_approx,permutation,2048.0,shapiq / permutation,False,10,58.090149999999994,57.788075,58.5312,0.028845816364136648,0.9958041958041959
bike,linear_regularized,dalex,dalex_approx,permutation,128.0,dalex / permutation,False,10,0.9035500000000001,0.89695,0.909975,3.920801122561437e-15,1.0
bike,linear_regularized,dalex,dalex_approx,permutation,512.0,dalex / permutation,False,10,3.39955,3.387525,3.49565,3.815922672762798e-15,1.0
bike,linear_regularized,dalex,dalex_approx,permutation,2048.0,dalex / permutation,False,10,13.644649999999999,13.56055,13.7172,3.8423284225635445e-15,1.0
bike,linear_regularized,lightshap,lightshap_approx,kernel,128.0,lightshap / kernel,False,10,0.05135,0.050625,0.05165,6.1212742227559544e-15,1.0
bike,linear_regularized,lightshap,lightshap_approx,kernel,512.0,lightshap / kernel,False,10,0.05035,0.0502,0.050775,6.1212742227559544e-15,1.0
bike,linear_regularized,lightshap,lightshap_approx,kernel,2048.0,lightshap / kernel,False,10,0.0503,0.049874999999999996,0.0508,6.1212742227559544e-15,1.0
bike,linear_regularized,lightshap,lightshap_approx,permutation,128.0,lightshap / permutation,False,10,0.07089999999999999,0.070425,0.0716,3.901477229043705e-15,1.0
bike,linear_regularized,lightshap,lightshap_approx,permutation,512.0,lightshap / permutation,False,10,0.07089999999999999,0.0705,0.071275,3.901477229043705e-15,1.0
bike,linear_regularized,lightshap,lightshap_approx,permutation,2048.0,lightshap / permutation,False,10,0.07045,0.070225,0.07105,3.901477229043705e-15,1.0
bike,linear_regularized,shap,shap_approx,kernel,128.0,shap / kernel,False,10,0.0474,0.0469,0.04775,0.01626455984890177,0.9947475850404517
bike,linear_regularized,shap,shap_approx,kernel,512.0,shap / kernel,False,10,0.11660000000000001,0.11612499999999999,0.11737500000000001,0.014244999770865966,0.9970242960625513
bike,linear_regularized,shap,shap_approx,kernel,2048.0,shap / kernel,False,10,0.46635000000000004,0.458725,0.47175,0.01372340906285165,0.9977248225308897
bike,linear_regularized,shap,shap_approx,permutation,128.0,shap / permutation,False,10,0.054650000000000004,0.053875,0.055225,3.8501521998657864e-15,1.0
bike,linear_regularized,shap,shap_approx,permutation,512.0,shap / permutation,False,10,0.15910000000000002,0.15735,0.160675,3.687651107486572e-15,1.0
bike,linear_regularized,shap,shap_approx,permutation,2048.0,shap / permutation,False,10,0.6059,0.5962999999999999,0.610775,3.9041296638846026e-15,1.0
bike,linear_regularized,shapiq,shapiq_approx,kernel,128.0,shapiq / kernel,False,10,0.5188999999999999,0.515125,0.5218,1.3998778839664424e-07,1.0
bike,linear_regularized,shapiq,shapiq_approx,kernel,512.0,shapiq / kernel,False,10,0.64855,0.646425,0.6543249999999999,2.6311877682115873e-07,1.0
bike,linear_regularized,shapiq,shapiq_approx,kernel,2048.0,shapiq / kernel,False,10,1.3098,1.2922,1.3148,3.6413120476142327e-07,1.0
bike,linear_regularized,shapiq,shapiq_approx,permutation,128.0,shapiq / permutation,False,10,2.30455,2.285575,2.3168,3.9193598685345235e-15,1.0
bike,linear_regularized,shapiq,shapiq_approx,permutation,512.0,shapiq / permutation,False,10,5.56935,5.5306,5.62535,3.7590834012951594e-15,1.0
bike,linear_regularized,shapiq,shapiq_approx,permutation,2048.0,shapiq / permutation,False,10,18.6462,18.475775,18.79055,4.29507283132413e-15,1.0
bike,random_forest,dalex,dalex_approx,permutation,128.0,dalex / permutation,False,10,10.5765,10.530899999999999,10.748875,0.12406874856301132,0.9741258741258743
bike,random_forest,dalex,dalex_approx,permutation,512.0,dalex / permutation,False,10,40.947649999999996,40.57045,41.255625,0.0550326887797155,0.9895104895104897
bike,random_forest,dalex,dalex_approx,permutation,2048.0,dalex / permutation,False,10,162.68984999999998,161.597275,163.085375,0.03142249711882128,0.9958041958041959
bike,random_forest,lightshap,lightshap_approx,kernel,128.0,lightshap / kernel,False,10,6.30425,6.01755,7.87385,0.03298534549530799,0.9884615384615385
bike,random_forest,lightshap,lightshap_approx,kernel,512.0,lightshap / kernel,False,10,8.65855,6.5862,10.044025000000001,0.03146921077369354,0.9881118881118882
bike,random_forest,lightshap,lightshap_approx,kernel,2048.0,lightshap / kernel,False,10,8.6599,6.601825,10.041875,0.03146921077369354,0.9881118881118882
bike,random_forest,lightshap,lightshap_approx,permutation,128.0,lightshap / permutation,False,10,6.002599999999999,5.711975,7.399825,0.025174135132338016,0.9944055944055945
bike,random_forest,lightshap,lightshap_approx,permutation,512.0,lightshap / permutation,False,10,8.1314,6.27895,9.493925,0.023519752725639005,0.9944055944055945
bike,random_forest,lightshap,lightshap_approx,permutation,2048.0,lightshap / permutation,False,10,8.14585,6.265775,9.503725000000001,0.023519752725639005,0.9944055944055945
bike,random_forest,shap,shap_approx,kernel,128.0,shap / kernel,False,10,0.5951500000000001,0.581925,0.60165,0.08022645562990519,0.9542921814939123
bike,random_forest,shap,shap_approx,kernel,512.0,shap / kernel,False,10,1.7109999999999999,1.676525,1.7428249999999998,0.03515445303577019,0.9856407409520532
bike,random_forest,shap,shap_approx,kernel,2048.0,shap / kernel,False,10,6.085,5.936775,6.2048499999999995,0.0153976695494703,0.9959735063600439
bike,random_forest,shap,shap_approx,permutation,128.0,shap / permutation,False,10,0.8385,0.82345,0.851425,0.05708274265421817,0.9891608391608393
bike,random_forest,shap,shap_approx,permutation,512.0,shap / permutation,False,10,3.00095,2.948025,3.0275,0.028499278881428246,0.9933566433566434
